closest_sc_node	city	city_aggregated	country	longest_chain	from_geo	domestic	between_focal	non_focal
7764	belgrade (RS)	capital (RS)	serbia	4.35	other_country_outside_europe	0	0	1
7827	city10 (HU)	not_capital (HU)	hungary	8.2	other_southern_european_country	0	0	1
7834	city21 (HU)	not_capital (HU)	hungary	1.963	city10 (HU)|city13 (HU)|city21 (HU)	1	0	0
7838	city13 (HU)	not_capital (HU)	hungary	0.646	city10 (HU)|city13 (HU)|city21 (HU)	1	0	0
8345	bucharest (RO)	capital (RO)	romania	13.541	other_country_outside_europe	0	0	1
8349	targu_mures (RO)	not_capital (RO)	romania	1.525	bucharest (RO)	1	0	0
8360	targu_mures (RO)	not_capital (RO)	romania	3.617	bucharest (RO)	1	0	0
8366	targu_mures (RO)	not_capital (RO)	romania	5.383	bucharest (RO)	1	0	0
8370	cluj_napoca (RO)	not_capital (RO)	romania	8.512	bucharest (RO)	1	0	0
8375	timisoara (RO)	not_capital (RO)	romania	2.998	cluj_napoca (RO)|targu_mures (RO)	1	0	0
8380	city1 (HU)	not_capital (HU)	hungary	1.081	cluj_napoca (RO)	0	1	0
8387	targu_mures (RO)	not_capital (RO)	romania	0.969	cluj_napoca (RO)	1	0	0
8389	cluj_napoca (RO)	not_capital (RO)	romania	0.487	targu_mures (RO)	1	0	0
8394	timisoara (RO)	not_capital (RO)	romania	4.356	cluj_napoca (RO)	1	0	0
8400	novi_sad (RS)	not_capital (RS)	serbia	4.723	belgrade (RS)|novi_sad (RS)	1	0	0
8401	belgrade (RS)	capital (RS)	serbia	4.578	belgrade (RS)|novi_sad (RS)	1	0	0
8407	targu_mures (RO)	not_capital (RO)	romania	2.924	bucharest (RO)|other_country_outside_europe|targu_mures (RO)	0.667	0	0.333
8415	satu_mare (RO)	not_capital (RO)	romania	0.704	targu_mures (RO)	1	0	0
8416	odorheiu_secuiesc (RO)	not_capital (RO)	romania	0.383	targu_mures (RO)	1	0	0
8419	bucharest (RO)	capital (RO)	romania	2.201	bucharest (RO)|other_country_outside_europe|targu_mures (RO)	0.667	0	0.333
8529	belgrade (RS)	capital (RS)	serbia	12.134	belgrade (RS)|other_country_outside_europe	0.5	0	0.5
8536	podgorica (ME)	capital (ME)	montenegro	3.105	belgrade (RS)	0	1	0
8561	novi_sad (RS)	not_capital (RS)	serbia	4.975	belgrade (RS)	1	0	0
8570	pozarevac (RS)	not_capital (RS)	serbia	2.114	belgrade (RS)	1	0	0
8572	belgrade (RS)	capital (RS)	serbia	0.304	pozarevac (RS)	1	0	0
8575	novi_sad (RS)	not_capital (RS)	serbia	5.133	belgrade (RS)	1	0	0
8578	novi_sad (RS)	not_capital (RS)	serbia	9.322	other_country_outside_europe	0	0	1
8586	prijedor (BA)	not_capital (BA)	bosnia_and_herzegovina	5.692	banja_luka (BA)|kragujevac (RS)|novi_sad (RS)|podgorica (ME)|prijedor (BA)	0.4	0.6	0
8591	kragujevac (RS)	not_capital (RS)	serbia	3.31	banja_luka (BA)|kragujevac (RS)|novi_sad (RS)|podgorica (ME)|prijedor (BA)	0.4	0.6	0
8597	belgrade (RS)	capital (RS)	serbia	4.783	belgrade (RS)|novi_sad (RS)	1	0	0
8601	sremska_kamenica (RS)	not_capital (RS)	serbia	0.255	belgrade (RS)|novi_sad (RS)	1	0	0
8604	banja_luka (BA)	not_capital (BA)	bosnia_and_herzegovina	1.977	banja_luka (BA)|other_country_outside_europe|other_european_country	0.333	0	0.667
8609	city11 (HU)	capital (HU)	hungary	6.251	city11 (HU)|city21 (HU)|other_european_country	0.667	0	0.333
8703	city18 (HU)	not_capital (HU)	hungary	2.938	city11 (HU)	1	0	0
8735	city1 (HU)	not_capital (HU)	hungary	0.583	city18 (HU)	1	0	0
8757	city21 (HU)	not_capital (HU)	hungary	6.867	city11 (HU)|city21 (HU)|other_european_country	0.667	0	0.333
8760	city8 (HU)	not_capital (HU)	hungary	1.826	city11 (HU)|city21 (HU)|other_european_country	0.667	0	0.333
14223	city11 (HU)	capital (HU)	hungary	0.693	bucharest (RO)|city11 (HU)|other_country_outside_europe	0.333	0.333	0.333
14228	odorheiu_secuiesc (RO)	not_capital (RO)	romania	2.251	miercurea_ciuc (RO)|odorheiu_secuiesc (RO)	1	0	0
14229	miercurea_ciuc (RO)	not_capital (RO)	romania	1.955	miercurea_ciuc (RO)|odorheiu_secuiesc (RO)	1	0	0
14232	targu_mures (RO)	not_capital (RO)	romania	0.263	city11 (HU)|targu_mures (RO)|timisoara (RO)	0.667	0.333	0
14235	bucharest (RO)	capital (RO)	romania	1.741	bucharest (RO)|satu_mare (RO)	1	0	0
14237	city5 (HU)	not_capital (HU)	hungary	0.036	city11 (HU)	1	0	0
14278	belgrade (RS)	capital (RS)	serbia	4.997	other_southern_european_country	0	0	1
14281	novi_sad (RS)	not_capital (RS)	serbia	3.962	belgrade (RS)|novi_sad (RS)	1	0	0
14287	city18 (HU)	not_capital (HU)	hungary	8.851	city17 (HU)|city18 (HU)	1	0	0
14289	city17 (HU)	not_capital (HU)	hungary	5.216	city17 (HU)|city18 (HU)	1	0	0
15051	novi_sad (RS)	not_capital (RS)	serbia	5.492	belgrade (RS)|other_european_country	0.5	0	0.5
15058	targu_mures (RO)	not_capital (RO)	romania	6.125	other_european_country	0	0	1
